mjd	ra_deg	dec_deg	r_au	delta_au
61012.77405093	177.9240447	1.3758588	1.868358	1.882695
61012.77474537	177.9233803	1.3761001	1.868376	1.882688
61012.77543982	177.9227158	1.3763413	1.868393	1.882681
61012.77613426	177.9220513	1.3765825	1.868410	1.882674
61012.77682870	177.9213868	1.3768237	1.868427	1.882668
61012.77752315	177.9207222	1.3770649	1.868445	1.882661
61012.77821759	177.9200577	1.3773061	1.868462	1.882654
61012.77891204	177.9193931	1.3775472	1.868479	1.882647
61012.77960648	177.9187285	1.3777883	1.868496	1.882640
61012.78030093	177.9180639	1.3780294	1.868514	1.882633
61012.78099537	177.9173992	1.3782705	1.868531	1.882626
61012.78168982	177.9167346	1.3785115	1.868548	1.882620
61012.78238426	177.9160699	1.3787525	1.868565	1.882613
61012.78307870	177.9154052	1.3789935	1.868583	1.882606
61012.78377315	177.9147405	1.3792345	1.868600	1.882599
61012.78446759	177.9140758	1.3794755	1.868617	1.882592
61012.78516204	177.9134110	1.3797164	1.868634	1.882585
61012.78585648	177.9127462	1.3799573	1.868652	1.882579
61012.78655093	177.9120814	1.3801982	1.868669	1.882572
61012.78724537	177.9114166	1.3804391	1.868686	1.882565
61012.78793981	177.9107518	1.3806800	1.868703	1.882558
61012.78863426	177.9100869	1.3809208	1.868721	1.882551
61012.78932870	177.9094221	1.3811616	1.868738	1.882544
61012.79002315	177.9087572	1.3814024	1.868755	1.882538
61012.79071759	177.9080923	1.3816432	1.868772	1.882531
61012.79141204	177.9074274	1.3818839	1.868790	1.882524
61012.79210648	177.9067624	1.3821246	1.868807	1.882517
61012.79280093	177.9060974	1.3823654	1.868824	1.882510
61012.79349537	177.9054325	1.3826060	1.868842	1.882503
61012.79418981	177.9047675	1.3828467	1.868859	1.882497
61012.79488426	177.9041024	1.3830873	1.868876	1.882490
61012.79557870	177.9034374	1.3833279	1.868893	1.882483
61012.79627315	177.9027723	1.3835685	1.868911	1.882476
61012.79696759	177.9021073	1.3838091	1.868928	1.882469
61012.79766204	177.9014422	1.3840497	1.868945	1.882462
61012.79835648	177.9007771	1.3842902	1.868962	1.882456
61012.79905093	177.9001119	1.3845307	1.868980	1.882449
61012.79974537	177.8994468	1.3847712	1.868997	1.882442
61012.80043982	177.8987816	1.3850117	1.869014	1.882435
61012.80113426	177.8981164	1.3852521	1.869031	1.882428
61012.80182870	177.8974512	1.3854925	1.869049	1.882421
61012.80252315	177.8967860	1.3857329	1.869066	1.882415
61012.80321759	177.8961207	1.3859733	1.869083	1.882408
61012.80391204	177.8954555	1.3862137	1.869100	1.882401
61012.80460648	177.8947902	1.3864540	1.869118	1.882394
61012.80530093	177.8941249	1.3866943	1.869135	1.882387
61012.80599537	177.8934596	1.3869346	1.869152	1.882381
61012.80668982	177.8927942	1.3871749	1.869169	1.882374
61012.80738426	177.8921289	1.3874151	1.869187	1.882367
61012.80807870	177.8914635	1.3876553	1.869204	1.882360
61012.80877315	177.8907981	1.3878956	1.869221	1.882353
61012.80946759	177.8901327	1.3881357	1.869238	1.882346
61012.81016204	177.8894673	1.3883759	1.869256	1.882340
61012.81085648	177.8888018	1.3886160	1.869273	1.882333
61012.81155093	177.8881363	1.3888562	1.869290	1.882326
61012.81224537	177.8874709	1.3890963	1.869307	1.882319
61012.81293982	177.8868054	1.3893363	1.869325	1.882312
61012.81363426	177.8861398	1.3895764	1.869342	1.882306
61012.81432870	177.8854743	1.3898164	1.869359	1.882299
61012.81502315	177.8848087	1.3900564	1.869377	1.882292
61012.81571759	177.8841432	1.3902964	1.869394	1.882285
61012.81641204	177.8834776	1.3905364	1.869411	1.882278
61012.81710648	177.8828120	1.3907763	1.869428	1.882271
61012.81780093	177.8821463	1.3910162	1.869446	1.882265
61012.81849537	177.8814807	1.3912561	1.869463	1.882258
61012.81918981	177.8808150	1.3914960	1.869480	1.882251
61012.81988426	177.8801493	1.3917359	1.869497	1.882244
61012.82057870	177.8794836	1.3919757	1.869515	1.882237
61012.82127315	177.8788179	1.3922155	1.869532	1.882231
61012.82196759	177.8781522	1.3924553	1.869549	1.882224
61012.82266204	177.8774864	1.3926951	1.869566	1.882217
61012.82335648	177.8768207	1.3929348	1.869584	1.882210
61012.82405093	177.8761549	1.3931745	1.869601	1.882203
61012.82474537	177.8754890	1.3934142	1.869618	1.882197
61012.82543981	177.8748232	1.3936539	1.869635	1.882190
61012.82613426	177.8741574	1.3938936	1.869653	1.882183
61012.82682870	177.8734915	1.3941332	1.869670	1.882176
61012.82752315	177.8728256	1.3943728	1.869687	1.882169
61012.82821759	177.8721597	1.3946124	1.869705	1.882163
61012.82891204	177.8714938	1.3948520	1.869722	1.882156
61012.82960648	177.8708279	1.3950915	1.869739	1.882149
61012.83030093	177.8701619	1.3953311	1.869756	1.882142
61012.83099537	177.8694960	1.3955706	1.869774	1.882135
61012.83168982	177.8688300	1.3958101	1.869791	1.882129
61012.83238426	177.8681640	1.3960495	1.869808	1.882122
61012.83307870	177.8674980	1.3962890	1.869825	1.882115
61012.83377315	177.8668319	1.3965284	1.869843	1.882108
61012.83446759	177.8661659	1.3967678	1.869860	1.882101
61012.83516204	177.8654998	1.3970071	1.869877	1.882095
61012.83585648	177.8648337	1.3972465	1.869894	1.882088
61012.83655093	177.8641676	1.3974858	1.869912	1.882081
61012.83724537	177.8635015	1.3977251	1.869929	1.882074
61012.83793982	177.8628353	1.3979644	1.869946	1.882068
61012.83863426	177.8621692	1.3982037	1.869963	1.882061
61012.83932870	177.8615030	1.3984429	1.869981	1.882054
61012.84002315	177.8608368	1.3986821	1.869998	1.882047
61012.84071759	177.8601706	1.3989213	1.870015	1.882040
61012.84141204	177.8595044	1.3991605	1.870033	1.882034
61012.84210648	177.8588381	1.3993996	1.870050	1.882027
61012.84280093	177.8581719	1.3996388	1.870067	1.882020
61012.84349537	177.8575056	1.3998779	1.870084	1.882013
61012.84418982	177.8568393	1.4001170	1.870102	1.882006
61012.84488426	177.8561730	1.4003560	1.870119	1.882000
61012.84557870	177.8555067	1.4005951	1.870136	1.881993
61012.84627315	177.8548403	1.4008341	1.870153	1.881986
61012.84696759	177.8541740	1.4010731	1.870171	1.881979
61012.84766204	177.8535076	1.4013120	1.870188	1.881973
61012.84835648	177.8528412	1.4015510	1.870205	1.881966
61012.84905093	177.8521748	1.4017899	1.870223	1.881959
61012.84974537	177.8515083	1.4020288	1.870240	1.881952
61012.85043981	177.8508419	1.4022677	1.870257	1.881945
61012.85113426	177.8501754	1.4025066	1.870274	1.881939
61012.85182870	177.8495089	1.4027454	1.870292	1.881932
61012.85252315	177.8488424	1.4029842	1.870309	1.881925
61012.85321759	177.8481759	1.4032230	1.870326	1.881918
61012.85391204	177.8475094	1.4034618	1.870343	1.881912
61012.85460648	177.8468428	1.4037006	1.870361	1.881905
61012.85530093	177.8461763	1.4039393	1.870378	1.881898
61012.85599537	177.8455097	1.4041780	1.870395	1.881891
